Condition,Durationinseconds,RecordedDate,Q4_ProductText,Q5_Initial_Urge,Q6_Initial_Intent,Q8_Browser,Q8_Version,Q8_OperatingSystem,Q8_Resolution,Q11_3_SqTable1,Q11_4_SqTable1,Q11_5_SqTable1,Q11_6_SqTable1,Q11_7_SqTable1,Q11_8_SqTable1,Q11_9_SqTable1,Q11_10_SqTable1,Q11_11_SqTable1,Q11_12_SqTable1,Q11_13_SqTable1,Q11_14_SqTable1,Q11_15_SqTable1,Q11_16_SqTable1,Q11_17_SqTable1,Q12_PageSubmit,Q15_3_SqTable2,Q15_4_SqTable2,Q15_5_SqTable2,Q15_6_SqTable2,Q15_7_SqTable2,Q15_8_SqTable2,Q15_9_SqTable2,Q15_10_SqTable2,Q15_11_SqTable2,Q15_12_SqTable2,Q15_13_SqTable2,Q15_14_SqTable2,Q15_15_SqTable2,Q15_16_SqTable2,Q15_17_SqTable2,Q16_PageSubmit,Q17_Grp2_PostUrge,Q18_Grp2_PostIntent,Q24_Grp1_PostUrge,Q25_Grp1_PostIntent,Q27_PlanningToBuy,IBT_1,IBT_2,IBT_3,IBT_4,IBT_5,MotivationLevel,SelfEfficacy,NFC_1,NFC_2,NFC_3,NFC_4,NFC_5,Gender,GenderTEXT,Age,Income,Race_White,Race_Hispanic,Race_Black,Race_NativeAmerican,Race_Asian,Race_PacificIslander,Race_Other,Race_Other_Text,Employment_FullTime,Employment_PartTime,Employment_OutLooking,Employment_OutNotLooking,Employment_StayHomeParent,Employment_Student,Employment_Military,Employment_Retired,Employment_UnableWork,MaritialStatus,Education,Q78_ReflectionDifficultyFor,Q79ReflectionDifficultyAgainst,Q108_DifficultyCounting,Q109_WasDistracted,Prod_Page_Number,Screener_Duration_sec,Screener_RecordedDate,Screener_Freq_ImpulseBuying,IBT5_NEW,IB_SCALE,NFC3_NEW,NFC_SCALE,DV_Urge,DV_Intent,ReflectionCondition,DistractionCondition,CHAR_Reflect_For_1,CHAR_Reflect_For_2,CHAR_Reflect_For_3,CHAR_Reflect_For_4,CHAR_Reflect_For_5,Total_Chars_ForBuying,CHAR_Reflect_Against_1,CHAR_Reflect_Against_2,CHAR_Reflect_Against_3,CHAR_Reflect_Against_4,CHAR_Reflect_Against_5,Total_Chars_AgainstBuying,Reflection_TotalCharacters,DV_POST_INDEX,DV_PRE_INDEX,NumberCorrect_Table1,NumberCorrect_Table2,NumberCorrect_TOTAL,TimeSpent_Distraction,ReflectionDiff_Urge,ReflectionDiff_Intent,DistractionDiff_Intent,DistractionDiff_Urge,NCFxReflection,AverageDifficulty_Reflection,InterventionDifficulty,InterventionTimeSpent,Male,IBTxReflection,IBTxDistraction,NCFxDistraction,UrgeIntent_DIFF,PerfectCountingScore_YN,filter_$
1,259,11/21/19 9:03,Product # 13: Boumbi Fragrant Camphor Laurel Wood Cell Phone Stand,6,7,Safari,13.0.1,Macintosh,834x1112, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,0,4,4,4,5,4,4,6,5,5,1,5,5,2, ,43,4,1,0,0,0,0,0,0, ,1, , , , , , , , ,1,6,5,5, , ,1,20,11/18/19 14:42,2,4,21,5,25,6,5,1,0,17,10,15,17,32,91,10,22,21,7,16,76,167,5.5,6.5,0,0,0, ,0,2, , ,25,5,5,79.171,0,21,0,0,1,0,1
1,478,11/20/19 14:26,"""Product # 200: Lenovo Laptop Backpack B210, 15.6-Inch Laptop and Tablet, Durable, Water-Repellent, Lightweight""",1,2,Chrome,78.0.3904.96,Android 9,360x760, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,0,2,3,1,1,6,7,7,4,3,5,5,4,2, ,33,3,1,0,0,0,0,0,0, , ,1, , , , , , , ,1,7,1,1, , ,5,93,11/18/19 14:41,2,2,9,1,17,2,2,1,0,17,14,6,10,7,54,10,15,21,13,10,69,123,2,1.5,0,0,0, ,-1,0, , ,17,1,1,101.149,0,9,0,0,-.5,0,1
1,739,11/20/19 10:07,Product # 20: hOmeLabs Sunrise Alarm Clock - Digital LED Clock with 6 Color Switch,3,4,Chrome,72.0.3626.121,Windows NT 6.3,1093x615, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,0,2,2,2,3,6,6,6,5,5,1,5,5,2, ,63,1,1,0,0,0,0,0,0, , ,1, , , , , , , ,3,6,5,5, , ,1,92,11/18/19 14:40,2,2,11,5,25,3,4,1,0,53,55,59,38,47,252,47,54,68,34,121,324,576,3.5,3.5,0,0,0, ,0,0, , ,25,5,5,273.032,0,11,0,0,0,0,1
1,340,11/19/19 14:21,"""Product # 26: Burrito Blanket, Giant Flour Tortilla Throw Blanket,  Flannel Taco Blanket for Kids.""",7,6,Chrome,78.0.3904.97,Windows NT 10.0,1366x768, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,6,0,2,2,1,2,5,7,7,2,5,5,4,4,2, ,23,2,1,0,0,0,0,0,0, ,1, , , , , , , , ,2,3,5,2, , ,1,35,11/18/19 14:41,2,3,10,1,16,7,6,1,0,23,11,17,30,26,107,23,19,33,26,14,115,222,6.5,6.5,0,0,0, ,0,0, , ,16,3.5,3.5,44.165,0,10,0,0,0,0,1
1,379,11/20/19 13:32,"""Product # 43: JanSport Fifth Ave Fanny Pack, Smiles and Rainbows, For Men and Women""",6,4,Chrome,78.0.3904.97,Macintosh,1280x800, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,4,0,4,4,5,5,4,5,5,4,3,2,4,4,2, ,38,4,0,0,0,0,1,0,0, ,1, , , ,1, , , , ,1,6,5,4, , ,2,47,11/18/19 14:38,3,4,22,4,19,6,4,1,0,9,33,18,24,20,104,16,23,39,26,27,131,235,5,5,0,0,0, ,0,0, , ,19,4.5,4.5,89.413,0,22,0,0,0,0,1
1,600,11/19/19 14:20,"""Product # 26: Burrito Blanket, Giant Flour Tortilla Throw Blanket,  Flannel Taco Blanket for Kids.""",5,4,Chrome,78.0.3904.108,Windows NT 6.3,1920x1080, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,0,7,7,6,7,1,3,5,4,2,4,5,5,2, ,60,3,1,0,0,0,0,0,0, ,1, , , , , , , , ,1,5,5,3, , ,1,43,11/18/19 14:45,4,7,34,2,18,5,4,1,0,7,4,10,20,15,56,12,5,29,33,29,108,164,4.5,4.5,0,0,0, ,0,0, , ,18,4,4,133.995,0,34,0,0,0,0,1
1,511,11/19/19 14:23,Product # 192: Start Where You Are: A Journal for Self-Exploration,4,4,Firefox,70,Macintosh,2560x1440, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,0,4,4,3,6,3,5,5,4,4,2,4,2,2, ,41,3,0,0,0,0,0,0,1, ,1, , , , , , , , ,1,7,4,3, , ,5,30,11/18/19 14:32,3,5,22,4,18,4,4,1,0,15,23,30,13,16,97,47,20,53,15,15,150,247,4,4,0,0,0, ,0,0, , ,18,3.5,3.5,110.719,0,22,0,0,0,0,1
1,388,11/20/19 10:17,"""Product # 26: Burrito Blanket, Giant Flour Tortilla Throw Blanket,  Flannel Taco Blanket for Kids.""",1,2,Chrome,78.0.3904.97,Windows NT 10.0,1600x1200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,0,4,4,3,6,5,7,3,4,4,5,2,4,2, ,28,3,1,0,0,0,0,0,0, ,1, , , , , , , , ,6,7,2,2, , ,1,19,11/18/19 14:31,3,3,20,1,15,2,1,1,0,7,5,25,20,5,62,12,23,8,25,17,85,147,1.5,1.5,0,0,0, ,-1,1, , ,15,2,2,125.412,0,20,0,0,0,0,1
1,675,11/20/19 10:09,Product # 31: Dreamingbox Star Night Light Lamps 360-Degree Rotating Best Gifts for Kids,4,4,Firefox,70,Windows NT 10.0,1280x1024, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,0,7,7,7,7,1,2,2,1,1,5,1,1,2, ,33,3,1,0,0,0,0,0,0, ,1, , , , , , , , ,4,6,5,2, , ,1,11,11/18/19 14:46,4,7,35,1,5,4,4,1,0,22,20,46,21,48,157,23,20,21,48,32,144,301,4,4,0,0,0, ,0,0, , ,5,3.5,3.5,498.685,0,35,0,0,0,0,1
1,9117,11/20/19 16:26,Product # 11: The Original Cat Beard Mug - Cute and Funny Glass Coffee Mug by Nacisse,4,5,Safari iPhone,13.0.3,iPhone,375x667, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,0,4,4,7,7,1,7,7,1,5,3,5,1,2, ,34,2,1,1,0,0,0,0,0, ,1, , , , , , , , ,2,6,5,5, , ,1,40,11/18/19 14:35,3,7,29,3,15,4,5,1,0,4,6,16,4,6,36,8,18,13,31,20,90,126,4.5,4.5,0,0,0, ,0,0, , ,15,5,5,82.356,0,29,0,0,0,0,1
1,177,11/20/19 9:50,"""Product # 35: Snuggie- The Original Wearable Blanket, As Seen On TV- Plaid""",6,5,Chrome,78.0.3904.108,Macintosh,1440x900, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6,0,4,5,4,4,5,4,2,3,2,4,3,3,2, ,18,1,1,0,0,0,0,0,0, , , , , , ,1, , , ,6,3,5,2, , ,1,41,11/18/19 14:35,4,3,20,2,13,5,6,1,0,10,7,11,7,4,39,12,11,19,10,14,66,105,5.5,5.5,0,0,0, ,1,-1, , ,13,3.5,3.5,42.246,0,20,0,0,0,0,1
1,838,11/20/19 10:16,"""Product # 200: Lenovo Laptop Backpack B210, 15.6-Inch Laptop and Tablet, Durable, Water-Repellent, Lightweight""",1,1,Chrome,78.0.3904.97,Windows NT 10.0,1366x768, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,1,4,1,7,4,4,4,3,4,4,4,4,2, ,69,2,1,0,0,0,0,0,0, , ,1, , , , , , , ,1,6,4,5, , ,5,93,11/18/19 14:41,2,4,17,2,17,1,1,1,0,119,30,59,17,21,246,32,48,37,49,49,215,461,1,1,0,0,0, ,0,0, , ,17,4.5,4.5,288.071,0,17,0,0,0,0,1
1,1006,11/20/19 13:54,Product # 199: Meidong QQChocolate Bluetooth Speakers Portable Waterproof,4,5,Chrome,78.0.3904.108,Windows NT 6.1,1024x640, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,0,5,4,3,7,5,3,6,2,2,4,4,4,2, ,50,4,1,0,0,0,0,0,0, , , , , ,1, , , , ,1,6,5,5, , ,5,84,11/18/19 14:21,2,3,22,2,14,4,5,1,0,11,29,43,23,10,116,14,30,36,19,24,123,239,4.5,4.5,0,0,0, ,0,0, , ,14,5,5,144.481,0,22,0,0,0,0,1
1,486,11/20/19 13:57,Product # 178: MIRA Stainless Steel Vacuum Insulated Water Bottle | Leak-Proof Double Walled Cola Shape Bottle,5,4,Chrome,78.0.3904.97,Windows NT 10.0,1920x1080, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,0,3,3,4,5,6,5,6,3,3,4,2,3,2, ,24,3,0,1,0,0,0,0,0, ,1, , , , , , , , ,6,6,4,3, , ,5,32,11/18/19 14:27,2,2,17,2,13,5,4,1,0,11,21,19,23,23,97,10,21,32,36,23,122,219,4.5,4.5,0,0,0, ,0,0, , ,13,3.5,3.5,116.335,0,17,0,0,0,0,1
1,410,11/20/19 10:05,Product # 2: Artinova Elephant Shape Wooden Pen Cup Cell Phone Stand,3,2,Safari iPhone,13.0.1,iPhone,375x812, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,0,4,2,1,2,4,7,7,5,5,4,4,4,2, ,23,4,0,1,0,0,0,0,0, ,1, , , , , , , , ,6,5,3,3, , ,1,31,11/18/19 14:47,2,4,13,2,20,3,2,1,0,10,7,14,4,17,52,10,11,13,15,14,63,115,2.5,2.5,0,0,0, ,0,0, , ,20,3,3,71.023,0,13,0,0,0,0,1
1,466,11/20/19 9:56,"""Product # 86: Back to the Roots Organic Mushroom Farm Grow Kit, Harvest Gourmet Oyster Mushrooms In 10 days""",5,4,Chrome,78.0.3904.97,Windows NT 6.1,1680x1050, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,0,5,5,5,7,3,5,2,2,2,4,2,4,2, ,21,3,1,0,0,0,0,0,0, , , , , , ,1, , , ,6,3,2,5, , ,3,72,11/18/19 14:26,3,5,27,2,12,5,4,1,0,21,35,12,49,34,151,14,15,27,34,26,116,267,4.5,4.5,0,0,0, ,0,0, , ,12,3.5,3.5,125.022,0,27,0,0,0,0,1
1,818,11/20/19 10:06,Product # 151: Umbra Hangit Photo Display - DIY Picture Frames Collage Set Includes Picture Hanging Wire Twine Cords,5,6,Chrome,78.0.3904.108,Windows NT 6.1,1600x900, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6,0,6,6,7,3,6,5,3,1,1,5,1,3,2, ,72,1,1,0,0,0,0,0,0, , , , , , , , ,1, ,1,2,4,2, , ,4,50,11/18/19 14:42,2,2,24,1,7,5,6,1,0,66,26,33,28,34,187,28,25,72,24,43,192,379,5.5,5.5,0,0,0, ,0,0, , ,7,3,3,245.157,0,24,0,0,0,0,1
1,336,11/20/19 14:42,Product # 7: WoneNice Camping Hammock - Portable Lightweight Double Nylon Hammock,3,3,Firefox,70,Windows NT 10.0,1366x768, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,0,3,3,2,5,4,5,5,3,4,4,4,4,2, ,25,1,1,0,0,0,0,0,0, , , , , , ,1, , , ,6,6,4,2, , ,1,24,11/18/19 14:25,2,4,17,2,17,3,3,1,0,10,11,25,47,8,101,22,22,18,20,20,102,203,3,3,0,0,0, ,0,0, , ,17,3,3,92.66,0,17,0,0,0,0,1
1,379,11/20/19 15:13,"""Product # 200: Lenovo Laptop Backpack B210, 15.6-Inch Laptop and Tablet, Durable, Water-Repellent, Lightweight""",6,5,Chrome,78.0.3904.97,Windows NT 10.0,1536x864, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,0,4,5,5,7,3,6,5,5,5,2,5,5,2, ,21,5,0,0,0,0,1,0,0, , , , , , ,1, , , ,6,6,3,2, , ,5,21,11/18/19 14:49,3,5,26,4,24,6,5,1,0,10,19,7,32,7,75,34,4,14,21,15,88,163,5.5,5.5,0,0,0, ,0,0, , ,24,2.5,2.5,88.925,0,26,0,0,0,0,1
1,892,11/20/19 14:15,"""Product # 108: Aria Starr Dead Sea Mud Mask For Face, Acne, Oily Skin & Blackheads - Best Facial Pore Minimizer, Reducer & Pores Cleanser""",6,5,Chrome,78.0.3904.97,Windows NT 10.0,1366x768, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,0,4,5,1,7,5,6,3,2,4,4,2,4,2, ,35,2,1,0,0,0,0,0,0, , , ,1, , , , , , ,1,7,5,2, , ,3,76,11/18/19 14:48,2,3,20,2,14,6,5,1,0,53,62,28,24,25,192,22,63,83,51,25,244,436,5.5,5.5,0,0,0, ,0,0, , ,14,3.5,3.5,247.901,0,20,0,0,0,0,1
1,1599,11/20/19 15:33,Product # 53: Glass Tea Cup with a Lid & Strainer Portable Cute Cat Tail Heat,4,5,Firefox,70,Windows NT 10.0,1536x864, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,0,4,3,1,5,5,4,6,4,2,2,4,4,2, ,30,3,0,0,1,0,0,0,0, , , ,1, , , , , , ,6,4,4,2, , ,2,23,11/18/19 14:33,2,3,16,4,18,4,4,1,0,19,21,14,43,39,136,52,38,24,27,20,161,297,4,4.5,0,0,0, ,0,1, , ,18,3,3,386.752,0,16,0,0,.5,0,1
1,1447,11/20/19 10:21,"""Product # 183: Elegant Reusable Bamboo Eco Travel Mug - Easy to Hold Cup for Coffee or Tea. Splash-Proof, Easy Clean Lid. (14 Oz)""",4,3,Chrome,44.0.2403.119,Android 8.1.0,360x640, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,0,4,4,2,5,4,6,6,3,5,4,4,3,2, ,39,1,0,0,1,0,0,0,0, , , ,1, , , , , , ,3,5,4,5, , ,5,55,11/18/19 14:33,2,4,19,2,17,4,2,1,0,17,13,29,10,18,87,14,20,41,8,18,101,188,3,3.5,0,0,0, ,0,1, , ,17,4.5,4.5,165.838,0,19,0,0,.5,0,1
1,533,11/20/19 10:22,Product # 4: Vproof Selfie Stick Bluetooth,4,3,Chrome,78.0.3904.96,Android 8.1.0,360x640, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,0,6,4,6,6,3,6,3,4,5,5,4,4,2, ,34,1,1,0,0,0,0,0,0, , , , , ,1, , , , ,2,2,4,5, , ,1,52,11/18/19 14:48,3,5,27,1,18,4,2,1,0,19,10,16,20,11,76,11,20,18,21,41,111,187,3,3.5,0,0,0, ,0,1, , ,18,4.5,4.5,157.073,0,27,0,0,.5,0,1
1,1188,11/20/19 14:20,Product # 19: Pink Octopus Ceramic 3D Coffee Mug with Tentacle Handle,6,6,Chrome,78.0.3904.97,Windows NT 10.0,1366x768, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6,0,5,5,4,5,3,6,6,2,2,3,2,4,2, ,54,1,0,0,1,0,0,0,0, , , , , , , , ,1, ,6,3,4,2, , ,1,180,11/18/19 14:42,3,5,24,3,13,5,6,1,0,80,22,22,19,24,167,49,72,207,70,109,507,674,5.5,6,0,0,0, ,1,0, , ,13,3,3,376.736,0,24,0,0,.5,0,1
1,1024,11/20/19 10:13,"""Product # 68: Pavilion Gift Company, Bee Chicken Pig and Cow Measuring Cups""",2,2,Chrome,78.0.3904.97,Windows NT 10.0,1536x864, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,5,5,2,5,2,2,3,4,3,2,4,3,2, ,27,3,1,0,0,0,0,0,0, , , , ,1, , , , , ,1,6,4,5, , ,2,52,11/18/19 14:36,3,6,23,4,18,1,1,1,0,19,50,22,56,36,183,69,81,92,57,51,350,533,1,2,0,0,0, ,1,1, , ,18,4.5,4.5,277.253,0,23,0,0,1,0,1
1,242,11/20/19 14:08,Product # 44: Ohbingo LED Photo Clips String Lights - 40 Photo Clips Battery Powered Fairy Twinkle Lights,6,5,Safari,13.0.3,Macintosh,1366x768, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,0,6,6,5,6,3,6,5,2,3,4,2,3,2, ,42,4,1,0,0,0,0,0,0, , ,1, , ,1, , , , ,1,6,5,4, , ,2,33,11/18/19 14:43,3,5,28,2,12,5,4,1,0,56,16,30,23,19,144,25,58,39,41,28,191,335,4.5,5.5,0,0,0, ,1,1, , ,12,4.5,4.5,53.627,0,28,0,0,1,0,1
